SPRAS [C(00002)]`MANDT [C(00006)]`AFBTXT [C(00100)]`AFBKTX [C(00024)]`AFAPL [C(00008)]`AFABER [C(00004)]
E`  400`  Book depreciation`  Book deprec.`  0077`  01
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0077`  20
E`  400`  Consolidated balance sheet in local currency`  Grp.loc.curr`  0077`  30
E`  400`  Consolidated balance sheet in group currency`  Cons.grp.cur`  0077`  31
E`  400`  Book depreciation in group currency`  BkDep(g.cur)`  0077`  32
E`  400`  Book depreciation - Historical values`  Book deprec.`  0AR`  01
E`  400`  Revaluation - official index (REI)`  Offic.reval.`  0AR`  10
E`  400`  Revaluation - official index (RT)`  Off.indx. RT`  0AR`  11
E`  400`  Book depreciation with revaluation`  Spec. reval.`  0AR`  12
E`  400`  Tax depreciation - Historical values`  Tax dep.`  0AR`  15
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0AR`  20
E`  400`  Book depreciation in hard currency`  Book deprec.`  0AR`  30
E`  400`  Book depreciation in group currency`  Book deprec.`  0AR`  31
E`  400`  Official revaluation in hard currency`  Offic.reval.`  0AR`  40
E`  400`  Official revaluation in group currency`  Offic.reval.`  0AR`  41
E`  400`  Specific revaluation in hard currency`  Specif.reval`  0AR`  50
E`  400`  Specific revaluation in group currency`  Specif.reval`  0AR`  51
E`  400`  Book depreciation`  Book deprec.`  0AT`  01
E`  400`  Tax depreciation valuation for bal. sheet APC`  Tax dep.`  0AT`  02
E`  400`  Valuation reserve`  Val.reserve`  0AT`  03
E`  400`  Assessed valuation`  Assessed val`  0AT`  10
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0AT`  20
E`  400`  Book depreciation in group currency`  BkDep(g.cur)`  0AT`  32
E`  400`  Investment incentive 1995`  IIn 1995`  0AT`  55
E`  400`  Investment incentive 1996`  IIn 1996`  0AT`  56
E`  400`  Investment incentive 1997`  IIn 1997`  0AT`  57
E`  400`  Investment incentive 1998`  IIn 1998`  0AT`  58
E`  400`  Investment incentive 1999`  IIn 1999`  0AT`  59
E`  400`  Book depreciation`  Book deprec.`  0AU`  01
E`  400`  Tax balance sheet`  Tax bal.sht.`  0AU`  15
E`  400`  Consolidated balance sheet in local currency`  Grp.loc.curr`  0AU`  30
E`  400`  Consolidated balance sheet in group currency`  Grp.grp.curr`  0AU`  31
E`  400`  Book depreciation in group currency`  BkDep(g.cur)`  0AU`  32
E`  400`  Book depreciation`  Book deprec.`  0BE`  01
E`  400`  Special tax depreciation for APC in fin.statement`  Spec.tax dep`  0BE`  02
E`  400`  Special reserves because of special tax depreciat.`  Spec.res.`  0BE`  03
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0BE`  20
E`  400`  Consolidated balance sheet in local currency`  Grp.loc.curr`  0BE`  30
E`  400`  Consolidated balance sheet in group currency`  Grp.grp.curr`  0BE`  31
E`  400`  Book depreciation in group currency`  BkDep(g.cur)`  0BE`  32
E`  400`  Book depreciation`  Book deprec.`  0BR`  01
E`  400`  Incentive area`  Incentive`  0BR`  02
E`  400`  Determination of real profit LALUR`  LALUR`  0BR`  03
E`  400`  Difference area (02-01)`  Diff.(02-01)`  0BR`  04
E`  400`  Book deprec. revaluation - IPC/90`  IPC/90`  0BR`  10
E`  400`  Book revaluation - summer plan`  Summer plan`  0BR`  11
E`  400`  Technical revaluation`  Techn. reval`  0BR`  13
E`  400`  Revaluation`  Revaluation`  0BR`  15
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0BR`  20
E`  400`  Cost-accounting depreciation`  C-acc. dep.`  0BR`  21
E`  400`  Consolidated balance sheet in local currency`  Grp.loc.curr`  0BR`  30
E`  400`  Group valuation in foreign currency`  Group (FrC)`  0BR`  31
E`  400`  Investment support`  Inv. supp.`  0BR`  41
E`  400`  CIAP`  CIAP`  0BR`  50
E`  400`  Total area (01 plus 10)`  Sum (01+ 10)`  0BR`  60
E`  400`  Book depreciation`  Book deprec.`  0CA`  01
E`  400`  Tax balance sheet for CCA`  Tax bal. CCA`  0CA`  15
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0CA`  20
E`  400`  Consolidated balance sheet in local currency`  Grp.loc.curr`  0CA`  30
E`  400`  Consolidated balance sheet in group currency`  Grp.grp.curr`  0CA`  31
E`  400`  Book depreciation in group currency`  BkDep(g.cur)`  0CA`  32
E`  400`  Investment support deducted from asset`  Inv.subsidy`  0CA`  41
E`  400`  Investment support posted to liabilities`  Inv.subs. 1`  0CA`  51
E`  400`  Insurance values`  Insurance`  0CA`  80
E`  400`  Book depreciation`  Book deprec.`  0CH`  01
E`  400`  Tax depreciation direct tax`  Tax dep.`  0CH`  15
E`  400`  Tax depreciation canton (model canton)`  Tax dep.`  0CH`  16
E`  400`  Cost-accounting depreciation`  Cost-acc.`  0CH`  20
E`  400`  Consolidated balance sheet in local currency`  Grp.loc.curr`  0CH`  30
E`  400`  Consolidated balance sheet in group currency`  Grp.grp.curr`  0CH`  31
