CLIENT [C(00006)]`NAME [C(00080)]`ATTRIB_KEY [C(00080)]`ATTRIB_VALUE [I(00004)]
100`  PASSWORD`  PASSWORD_CHANGE_FOR_SSO`  0
100`  PASSWORD`  MIN_PASSWORD_LENGTH`  6
100`  PASSWORD`  MIN_PASSWORD_LETTERS`  0
100`  PASSWORD`  MIN_PASSWORD_LOWERCASE`  0
100`  PASSWORD`  MIN_PASSWORD_SPECIALS`  0
100`  PASSWORD`  MIN_PASSWORD_UPPERCASE`  0
100`  PASSWORD`  PASSWORD_HISTORY_SIZE`  1
100`  PASSWORD`  MAX_FAILED_PASSWORD_LOGON_ATTEMPTS`  10
100`  PASSWORD`  MIN_PASSWORD_DIGITS`  0
100`  PASSWORD1`  MIN_PASSWORD_CHANGE_WAITTIME`  1
400`  PASSWORD1`  PASSWORD_HISTORY_SIZE`  1
200`  PASSWORD1`  PASSWORD_HISTORY_SIZE`  1
500`  PASSWORD`  PASSWORD_CHANGE_FOR_SSO`  0
500`  PASSWORD`  MIN_PASSWORD_LENGTH`  6
500`  PASSWORD`  MIN_PASSWORD_LETTERS`  0
500`  PASSWORD`  MIN_PASSWORD_LOWERCASE`  0
500`  PASSWORD`  MIN_PASSWORD_SPECIALS`  0
500`  PASSWORD`  MIN_PASSWORD_UPPERCASE`  0
500`  PASSWORD`  PASSWORD_HISTORY_SIZE`  1
500`  PASSWORD`  MAX_FAILED_PASSWORD_LOGON_ATTEMPTS`  10
500`  PASSWORD`  MIN_PASSWORD_DIGITS`  0
500`  PASSWORD1`  MIN_PASSWORD_CHANGE_WAITTIME`  1
